,name,rating
12,Aberfeldy 12,70.0
13,Aberfeldy 12,70.0
14,Aberfeldy 12,75.0
15,Aberfeldy 12,75.0
16,Aberfeldy 12,76.0
17,Aberfeldy 12,78.0
18,Aberfeldy 12,79.0
19,Aberfeldy 12,80.0
20,Aberfeldy 12,82.0
21,Aberfeldy 12,82.0
22,Aberfeldy 12,83.0
23,Aberfeldy 12,84.0
24,Aberfeldy 12,87.0
25,Aberfeldy 12,85.0
33,Aberlour 10,60.0
34,Aberlour 10,65.0
35,Aberlour 10,70.0
36,Aberlour 10,78.0
37,Aberlour 10,79.0
38,Aberlour 10,80.0
39,Aberlour 10,80.0
40,Aberlour 10,81.0
41,Aberlour 10,81.0
42,Aberlour 10,81.0
43,Aberlour 10,81.0
44,Aberlour 10,82.0
45,Aberlour 10,82.0
46,Aberlour 10,83.0
47,Aberlour 10,83.0
48,Aberlour 10,83.0
49,Aberlour 10,85.0
50,Aberlour 10,86.0
56,Aberlour 12 Double Cask Matured,72.0
57,Aberlour 12 Double Cask Matured,78.0
58,Aberlour 12 Double Cask Matured,78.0
59,Aberlour 12 Double Cask Matured,80.0
60,Aberlour 12 Double Cask Matured,81.0
61,Aberlour 12 Double Cask Matured,82.0
62,Aberlour 12 Double Cask Matured,83.0
63,Aberlour 12 Double Cask Matured,83.0
64,Aberlour 12 Double Cask Matured,83.0
65,Aberlour 12 Double Cask Matured,83.0
66,Aberlour 12 Double Cask Matured,84.0
67,Aberlour 12 Double Cask Matured,84.0
68,Aberlour 12 Double Cask Matured,84.0
69,Aberlour 12 Double Cask Matured,84.0
70,Aberlour 12 Double Cask Matured,84.0
71,Aberlour 12 Double Cask Matured,84.0
72,Aberlour 12 Double Cask Matured,85.0
73,Aberlour 12 Double Cask Matured,85.0
74,Aberlour 12 Double Cask Matured,85.0
75,Aberlour 12 Double Cask Matured,85.0
76,Aberlour 12 Double Cask Matured,86.0
77,Aberlour 12 Double Cask Matured,86.0
78,Aberlour 12 Double Cask Matured,87.0
79,Aberlour 12 Double Cask Matured,87.0
80,Aberlour 12 Double Cask Matured,88.0
81,Aberlour 12 Double Cask Matured,88.0
82,Aberlour 12 Double Cask Matured,88.0
83,Aberlour 12 Double Cask Matured,88.0
84,Aberlour 12 Double Cask Matured,89.0
85,Aberlour 12 Double Cask Matured,89.0
86,Aberlour 12 Double Cask Matured,92.0
87,Aberlour 12 Double Cask Matured,92.0
90,Aberlour 12 Non Chill Filtered,91.0
91,Aberlour 12 Non Chill Filtered,79.0
92,Aberlour 12 Non Chill Filtered,80.0
93,Aberlour 12 Non Chill Filtered,81.0
94,Aberlour 12 Non Chill Filtered,83.0
95,Aberlour 12 Non Chill Filtered,85.0
96,Aberlour 12 Non Chill Filtered,86.0
97,Aberlour 12 Non Chill Filtered,87.0
98,Aberlour 12 Non Chill Filtered,88.0
99,Aberlour 12 Non Chill Filtered,88.0
100,Aberlour 12 Non Chill Filtered,89.0
101,Aberlour 12 Non Chill Filtered,90.0
102,Aberlour 12 Non Chill Filtered,90.0
103,Aberlour 12 Non Chill Filtered,91.0
104,Aberlour 12 Non Chill Filtered,91.0
105,Aberlour 12 Non Chill Filtered,91.0
106,Aberlour 12 Non Chill Filtered,91.0
107,Aberlour 12 Non Chill Filtered,91.0
108,Aberlour 12 Non Chill Filtered,91.0
109,Aberlour 12 Non Chill Filtered,91.0
110,Aberlour 12 Non Chill Filtered,91.0
111,Aberlour 12 Non Chill Filtered,91.0
112,Aberlour 12 Non Chill Filtered,92.0
113,Aberlour 12 Non Chill Filtered,92.0
114,Aberlour 12 Non Chill Filtered,92.0
115,Aberlour 12 Non Chill Filtered,94.0
116,Aberlour 12 Non Chill Filtered,94.0
117,Aberlour 12 Non Chill Filtered,94.0
118,Aberlour 12 Non Chill Filtered,95.0
119,Aberlour 12 Non Chill Filtered,95.0
120,Aberlour 12 Non Chill Filtered,96.0
121,Aberlour 12 Non Chill Filtered,96.0
122,Aberlour 12 Non Chill Filtered,97.0
124,Aberlour 12 Sherry Cask Matured,71.0
125,Aberlour 12 Sherry Cask Matured,79.0
126,Aberlour 12 Sherry Cask Matured,81.0
127,Aberlour 12 Sherry Cask Matured,82.0
128,Aberlour 12 Sherry Cask Matured,84.0
129,Aberlour 12 Sherry Cask Matured,87.0
132,Aberlour 15 Double Cask Matured,78.0
134,Aberlour 15 Double Cask Matured,82.0
136,Aberlour 15 Double Cask Matured,82.0
137,Aberlour 15 Double Cask Matured,82.0
138,Aberlour 15 Double Cask Matured,83.0
141,Aberlour 16,81.0
142,Aberlour 16,82.0
143,Aberlour 16,82.0
144,Aberlour 16,84.0
145,Aberlour 16,85.0
146,Aberlour 16,85.0
147,Aberlour 16,86.0
148,Aberlour 16,87.0
149,Aberlour 16,87.0
150,Aberlour 16,87.0
151,Aberlour 16,87.0
152,Aberlour 16,88.0
153,Aberlour 16,89.0
154,Aberlour 16,89.0
155,Aberlour 16,91.0
156,Aberlour 16,92.0
157,Aberlour 16,93.0
158,Aberlour 16,
167,Aberlour 18,74.0
168,Aberlour 18,76.0
169,Aberlour 18,82.0
170,Aberlour 18,84.0
171,Aberlour 18,86.0
172,Aberlour 18,87.0
173,Aberlour 18,88.0
174,Aberlour 18,90.0
175,Aberlour 18,91.0
176,Aberlour 18,91.0
177,Aberlour 18,92.0
178,Aberlour 18,92.0
179,Aberlour 18,92.0
180,Aberlour 18,93.0
188,Aberlour A'bunadh,83.0
189,Aberlour A'bunadh,87.0
190,Aberlour A'bunadh,87.0
191,Aberlour A'bunadh,88.0
192,Aberlour A'bunadh,89.0
193,Aberlour A'bunadh,89.0
194,Aberlour A'bunadh,89.0
195,Aberlour A'bunadh,89.0
196,Aberlour A'bunadh,90.0
197,Aberlour A'bunadh,90.0
198,Aberlour A'bunadh,90.0
199,Aberlour A'bunadh,90.0
200,Aberlour A'bunadh,91.0
201,Aberlour A'bunadh,91.0
202,Aberlour A'bunadh,92.0
203,Aberlour A'bunadh,93.0
204,Aberlour A'bunadh,94.0
205,Aberlour A'bunadh,94.0
206,Aberlour A'bunadh,
219,Aberlour A'bunadh batch #36,91.0
220,Aberlour A'bunadh batch #36,91.0
221,Aberlour A'bunadh batch #36,91.0
222,Aberlour A'bunadh batch #36,92.0
223,Aberlour A'bunadh batch #36,92.0
224,Aberlour A'bunadh batch #36,95.0
225,Aberlour A'bunadh batch #36,95.0
226,Aberlour A'bunadh batch #36,96.0
227,Aberlour A'bunadh batch #37,88.0
228,Aberlour A'bunadh batch #37,89.0
229,Aberlour A'bunadh batch #37,92.0
230,Aberlour A'bunadh batch #37,93.0
231,Aberlour A'bunadh batch #37,
235,Aberlour A'bunadh batch #39,74.0
236,Aberlour A'bunadh batch #39,84.0
237,Aberlour A'bunadh batch #39,85.0
238,Aberlour A'bunadh batch #39,85.0
239,Aberlour A'bunadh batch #39,89.0
240,Aberlour A'bunadh batch #39,89.0
241,Aberlour A'bunadh batch #39,89.0
242,Aberlour A'bunadh batch #39,89.0
243,Aberlour A'bunadh batch #39,90.0
244,Aberlour A'bunadh batch #39,90.0
245,Aberlour A'bunadh batch #39,92.0
246,Aberlour A'bunadh batch #39,93.0
247,Aberlour A'bunadh batch #39,94.0
248,Aberlour A'bunadh batch #40,86.0
249,Aberlour A'bunadh batch #40,90.0
250,Aberlour A'bunadh batch #40,90.0
251,Aberlour A'bunadh batch #40,90.0
252,Aberlour A'bunadh batch #40,90.0
253,Aberlour A'bunadh batch #40,90.0
254,Aberlour A'bunadh batch #40,91.0
255,Aberlour A'bunadh batch #40,92.0
256,Aberlour A'bunadh batch #40,92.0
257,Aberlour A'bunadh batch #41,88.0
258,Aberlour A'bunadh batch #41,88.0
259,Aberlour A'bunadh batch #41,90.0
260,Aberlour A'bunadh batch #41,91.0
261,Aberlour A'bunadh batch #41,92.0
262,Aberlour A'bunadh batch #41,93.0
263,Aberlour A'bunadh batch #41,93.0
264,Aberlour A'bunadh batch #42,82.0
265,Aberlour A'bunadh batch #42,83.0
266,Aberlour A'bunadh batch #42,85.0
267,Aberlour A'bunadh batch #42,88.0
268,Aberlour A'bunadh batch #42,89.0
269,Aberlour A'bunadh batch #42,89.0
270,Aberlour A'bunadh batch #42,89.0
271,Aberlour A'bunadh batch #42,89.0
272,Aberlour A'bunadh batch #42,93.0
276,Aberlour A'bunadh batch #45,89.0
277,Aberlour A'bunadh batch #45,90.0
278,Aberlour A'bunadh batch #45,90.0
279,Aberlour A'bunadh batch #45,90.0
280,Aberlour A'bunadh batch #45,91.0
281,Aberlour A'bunadh batch #45,92.0
282,Aberlour A'bunadh batch #45,93.0
283,Aberlour A'bunadh batch #45,93.0
284,Aberlour A'bunadh batch #45,95.0
285,Aberlour A'bunadh batch #45,96.0
289,Aberlour A'bunadh batch #47,83.0
290,Aberlour A'bunadh batch #47,88.0
291,Aberlour A'bunadh batch #47,90.0
292,Aberlour A'bunadh batch #47,92.0
293,Aberlour A'bunadh batch #47,96.0
294,Aberlour A'bunadh batch #47,94.0
390,AnCnoc 12,70.0
391,AnCnoc 12,71.0
392,AnCnoc 12,76.0
393,AnCnoc 12,76.0
394,AnCnoc 12,78.0
395,AnCnoc 12,80.0
396,AnCnoc 12,80.0
397,AnCnoc 12,81.0
398,AnCnoc 12,82.0
399,AnCnoc 12,83.0
400,AnCnoc 12,84.0
401,AnCnoc 12,84.0
402,AnCnoc 12,84.0
403,AnCnoc 12,85.0
404,AnCnoc 12,85.0
405,AnCnoc 12,85.0
406,AnCnoc 12,86.0
407,AnCnoc 12,86.0
408,AnCnoc 12,86.0
409,AnCnoc 12,86.0
410,AnCnoc 12,87.0
411,AnCnoc 12,87.0
412,AnCnoc 12,88.0
413,AnCnoc 12,88.0
414,AnCnoc 12,88.0
415,AnCnoc 12,88.0
416,AnCnoc 12,88.0
417,AnCnoc 12,88.0
418,AnCnoc 12,88.0
419,AnCnoc 12,89.0
420,AnCnoc 12,90.0
421,AnCnoc 12,90.0
422,AnCnoc 12,90.0
423,AnCnoc 12,94.0
424,AnCnoc 12,
425,AnCnoc 16,76.0
426,AnCnoc 16,80.0
427,AnCnoc 16,83.0
428,AnCnoc 16,84.0
429,AnCnoc 16,85.0
430,AnCnoc 16,89.0
431,AnCnoc 16,90.0
432,AnCnoc 16,90.0
433,AnCnoc 16,90.0
434,AnCnoc 16,91.0
435,AnCnoc 16,93.0
436,AnCnoc 16,
444,AnCnoc Rutter,71.0
445,AnCnoc Rutter,82.0
446,AnCnoc Rutter,86.0
447,AnCnoc Rutter,88.0
448,AnCnoc Rutter,90.0
