,feinty,cereal,peaty,floral,woody,sulphur,winey,fruity,name,region,numReviews,avg.price,stddev.price,avg.rating,stddev.rating
0,32.0,29.0,28.0,16.0,52.0,3.0,20.0,65.0,Aberfeldy 12,Highland,17.0,42.8571428571,7.45325569185,79.3529411765,5.43346034765
1,33.0,39.0,24.0,35.0,89.0,0.0,106.0,125.0,Aberlour 10,Speyside,23.0,39.7272727273,8.10264725642,79.2608695652,6.22908599133
2,52.0,42.0,35.0,46.0,181.0,0.0,194.0,242.0,Aberlour 12 Double Cask Matured,Speyside,36.0,42.9655172414,8.76309958791,84.3055555556,3.90739643671
3,24.0,50.0,44.0,28.0,155.0,2.0,203.0,245.0,Aberlour 12 Non Chill Filtered,Speyside,35.0,58.8636363636,7.1114213804,89.8,4.62786590743
4,7.0,8.0,2.0,8.0,31.0,0.0,47.0,44.0,Aberlour 12 Sherry Cask Matured,Speyside,7.0,51.5,4.5,81.0,4.69041575982
5,11.0,8.0,5.0,2.0,37.0,1.0,48.0,23.0,Aberlour 15 Double Cask Matured,Speyside,5.0,,,81.4,1.74355957742
6,21.0,10.0,12.0,14.0,71.0,1.0,72.0,86.0,Aberlour 16,Speyside,18.0,61.5833333333,5.49936865063,86.7647058824,3.33483241954
7,16.0,21.0,7.0,13.0,49.0,3.0,77.0,98.0,Aberlour 18,Speyside,14.0,86.25,10.8253175473,87.0,5.84318895321
8,28.0,53.0,30.0,29.0,117.0,2.0,140.0,156.0,Aberlour A'bunadh,Speyside,20.0,84.5,10.7074740252,89.9473684211,2.6252555607
9,14.0,8.0,20.0,5.0,40.0,0.0,49.0,43.0,Aberlour A'bunadh batch #36,Speyside,8.0,72.875,12.5143667439,92.875,1.96452920569
10,6.0,3.0,2.0,1.0,25.0,1.0,19.0,15.0,Aberlour A'bunadh batch #37,Speyside,5.0,81.25,21.3234026365,90.5,2.06155281281
11,9.0,32.0,1.0,15.0,75.0,0.0,101.0,94.0,Aberlour A'bunadh batch #39,Speyside,14.0,72.0,14.2945210949,88.4285714286,5.10901564064
12,8.0,16.0,5.0,7.0,59.0,0.0,69.0,90.0,Aberlour A'bunadh batch #40,Speyside,9.0,77.0,27.5608417869,90.1111111111,1.66295883857
13,4.0,21.0,4.0,2.0,59.0,0.0,68.0,65.0,Aberlour A'bunadh batch #41,Speyside,7.0,75.0,24.8327740429,90.7142857143,1.97948663722
14,6.0,23.0,9.0,4.0,43.0,1.0,51.0,40.0,Aberlour A'bunadh batch #42,Speyside,9.0,58.8,9.98799279135,87.4444444444,3.26976421546
15,4.0,1.0,3.0,5.0,41.0,2.0,64.0,39.0,Aberlour A'bunadh batch #45,Speyside,11.0,69.1428571429,4.0152769493,91.3636363636,2.70597746657
16,3.0,9.0,1.0,2.0,35.0,0.0,36.0,32.0,Aberlour A'bunadh batch #47,Speyside,6.0,74.3333333333,7.58653778449,90.5,4.2328083664
17,95.0,110.0,84.0,61.0,235.0,3.0,99.0,281.0,AnCnoc 12,Speyside,40.0,43.7826086957,12.0936797066,84.2820512821,5.08365262359
18,37.0,40.0,15.0,32.0,107.0,1.0,44.0,156.0,AnCnoc 16,Speyside,13.0,66.0,18.801595677,86.5833333333,4.83835945566
19,4.0,13.0,74.0,15.0,21.0,0.0,3.0,59.0,AnCnoc Rutter,Speyside,6.0,75.0,0.0,84.5,6.62696511736
20,110.0,167.0,978.0,107.0,418.0,24.0,210.0,427.0,Ardbeg 10,Islay,110.0,58.5487804878,15.1070589534,85.7889908257,7.25558740026
21,6.0,5.0,36.0,13.0,26.0,1.0,10.0,12.0,Ardbeg 21 Sovereign,Islay,6.0,341.666666667,18.6338998125,91.0,1.52752523165
22,23.0,26.0,64.0,10.0,40.0,0.0,31.0,63.0,Ardbeg Airigh Nam Beist 1990,Islay,7.0,136.0,44.0,87.7142857143,3.194382825
23,56.0,54.0,190.0,30.0,145.0,5.0,61.0,92.0,Ardbeg Alligator,Islay,21.0,141.0,47.0983014556,88.8571428571,4.49640824157
24,54.0,28.0,300.0,49.0,159.0,15.0,94.0,122.0,Ardbeg Ardbog,Islay,29.0,113.4,33.5237229436,89.6206896552,3.827430876
25,16.0,12.0,85.0,15.0,65.0,2.0,33.0,37.0,Ardbeg Auriverdes,Islay,8.0,105.25,26.3758886106,82.375,4.06009544223
26,5.0,7.0,66.0,8.0,23.0,2.0,23.0,19.0,Ardbeg Blasda,Islay,5.0,,,80.6,7.78716893357
27,59.0,65.0,458.0,58.0,236.0,17.0,163.0,188.0,Ardbeg Corryvreckan,Islay,47.0,92.4814814815,39.0757766875,90.7446808511,3.33561111251
28,3.0,6.0,30.0,3.0,17.0,3.0,13.0,9.0,Ardbeg Day,Islay,7.0,85.0,0.0,89.5714285714,2.71804251292
29,73.0,61.0,281.0,47.0,215.0,13.0,142.0,152.0,Ardbeg Galileo,Islay,30.0,102.176470588,23.664904007,89.2666666667,4.28900402839
30,9.0,3.0,36.0,4.0,17.0,2.0,4.0,15.0,Ardbeg Supernova,Islay,5.0,150.5,0.5,91.6,5.2
31,12.0,3.0,46.0,3.0,19.0,1.0,12.0,13.0,Ardbeg Supernova 2010,Islay,5.0,195.0,5.0,86.25,9.75640815054
32,164.0,130.0,919.0,97.0,417.0,27.0,385.0,438.0,Ardbeg Uigeadail,Islay,105.0,79.2876712329,22.7219521229,92.1730769231,4.24364300067
33,40.0,45.0,136.0,17.0,73.0,3.0,23.0,64.0,Ardmore Traditional Cask Peated,Speyside,21.0,51.5454545455,16.805646434,79.3333333333,5.80913347635
34,17.0,41.0,59.0,42.0,124.0,1.0,65.0,146.0,Auchentoshan 12,Lowland,27.0,52.0,12.0519707932,79.3703703704,5.01219363632
