,upholsteri,cowhid,polish,leather,wax,waxi,honey,mead,beeswax,feinti,feint,tea,tobacco,ash,buttermilk,chees,yeast,shoe,sweat,potato,scone,swede,corn,caff,hop,mousey,pot,ale,pork,sausag,meat,yeast,gravi,garlloch,bran,cattl,marmit,cake,malt,porridg,draff,weetabix,maiz,mash,medicin,creosot,iodin,carbol,hospit,lint,tar,seawe,oil,diesel,moss,birch,bog,damp,myrtl,earth,earthi,turf,hemp,rope,fish,peati,peat,shell,shellfish,salmon,oyster,anchovi,smoke,smokyburnt,bonfir,fire,lapsang,mown,hay,barn,herbal,sage,mulch,perfum,soften,carnat,coconut,lavend,floral,leaf,leav,green,lawn,grass,clip,fir,pine,geranium,florist,parmaviolet,wood,resin,sandalwood,ginger,pepper,allspic,nutmeg,spice,spici,musti,bung,cellar,pencil,cork,ink,metal,camphor,vanilla,custard,caramel,meringu,nougat,cake,spong,toffe,toast,brule,burnt,coffe,fennel,anise,licoric,liquoric,eras,tire,bakelit,cabl,carbid,cordit,match,matchbox,firework,coal,sulphur,laundri,starch,linen,sand,beach,brackish,cabbag,turnip,stagnant,marsh,nut,walnut,hazelnut,hazel,almond,pralin,marzipan,wine,winey,sherri,chardonnay,sautern,port,fino,oloroso,madeira,oil,suntan,cream,creami,butter,milk,cocoa,chocol,appl,pear,peach,apricot,varnish,paint,gum,orang,tangerin,zest,kiwi,nectarin,lemon,lime,citrus,citric,raisin,fig,apricot,prune,peel,minc,candi,sugar,jam,marmalad,fruit,fruiti,name,numReviews,region,avg.price,avg.rating,stddev.rating,stddev.price
0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,8.0,0.0,7.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,5.0,Aberfeldy 12,17.0,Highland,42.8571428571,79.3529411765,5.43346034765,7.45325569185
1,0.0,0.0,0.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,12.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,8.0,1.0,1.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,10.0,1.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,5.0,7.0,16.0,7.0,1.0,6.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,16.0,2.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,18.0,9.0,Aberlour 10,23.0,Speyside,39.7272727273,79.2608695652,6.22908599133,8.10264725642
2,0.0,0.0,3.0,3.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,16.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,22.0,1.0,4.0,52.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,6.0,1.0,118.0,1.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,11.0,4.0,0.0,5.0,24.0,50.0,7.0,1.0,6.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,4.0,1.0,17.0,0.0,22.0,2.0,6.0,6.0,4.0,0.0,9.0,8.0,5.0,0.0,50.0,16.0,Aberlour 12 Double Cask Matured,36.0,Speyside,42.9655172414,84.3055555556,3.90739643671,8.76309958791
3,0.0,0.0,1.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,23.0,1.0,5.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,7.0,1.0,2.0,8.0,4.0,105.0,0.0,0.0,5.0,0.0,3.0,0.0,6.0,0.0,6.0,7.0,3.0,4.0,3.0,25.0,29.0,2.0,2.0,6.0,0.0,0.0,3.0,29.0,0.0,4.0,0.0,0.0,5.0,0.0,10.0,0.0,28.0,4.0,6.0,6.0,3.0,0.0,4.0,13.0,12.0,1.0,51.0,15.0,Aberlour 12 Non Chill Filtered,35.0,Speyside,58.8636363636,89.8,4.62786590743,7.1114213804
4,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,7.0,3.0,Aberlour 12 Sherry Cask Matured,7.0,Speyside,51.5,81.0,4.69041575982,4.5
5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,3.0,Aberlour 15 Double Cask Matured,5.0,Speyside,,81.4,1.74355957742,
6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,10.0,0.0,1.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,8.0,1.0,0.0,3.0,3.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,1.0,24.0,9.0,Aberlour 16,18.0,Speyside,61.5833333333,86.7647058824,3.33483241954,5.49936865063
7,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,48.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,10.0,8.0,3.0,2.0,4.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,8.0,0.0,4.0,1.0,3.0,0.0,6.0,1.0,0.0,2.0,18.0,4.0,Aberlour 18,14.0,Speyside,86.25,87.0,5.84318895321,10.8253175473
8,0.0,0.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,1.0,4.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,12.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,1.0,2.0,5.0,0.0,59.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,0.0,5.0,5.0,5.0,1.0,5.0,23.0,19.0,1.0,0.0,10.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,3.0,10.0,1.0,2.0,0.0,3.0,15.0,2.0,1.0,29.0,4.0,Aberlour A'bunadh,20.0,Speyside,84.5,89.9473684211,2.6252555607,10.7074740252
9,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,3.0,Aberlour A'bunadh batch #36,8.0,Speyside,72.875,92.875,1.96452920569,12.5143667439
